0, 560, 93, 660, 169, 0.6340
0, 936, 79, 1009, 143, 0.5829
0, 1285, 355, 1516, 540, 0.4056
0, 1177, 104, 1225, 162, 0.4043
0, 895, 95, 943, 142, 0.4023
0, 880, 93, 939, 142, 0.2747
1, 560, 96, 660, 169, 0.6452
1, 936, 80, 1009, 143, 0.5913
1, 1285, 355, 1516, 540, 0.4506
1, 1177, 104, 1225, 163, 0.4306
1, 894, 94, 942, 142, 0.4158
1, 880, 93, 939, 142, 0.3201
2, 560, 96, 660, 169, 0.6436
2, 936, 80, 1009, 143, 0.5887
2, 1285, 355, 1516, 540, 0.4733
2, 1177, 104, 1225, 163, 0.4386
2, 895, 94, 942, 141, 0.4132
2, 880, 93, 939, 142, 0.3301
3, 559, 96, 660, 169, 0.6919
3, 937, 80, 1009, 144, 0.6009
3, 1285, 355, 1516, 540, 0.4670
3, 1178, 104, 1225, 163, 0.4420
3, 898, 96, 942, 141, 0.3476
4, 559, 97, 660, 169, 0.6936
4, 937, 80, 1009, 144, 0.6143
4, 1285, 356, 1517, 540, 0.5071
4, 1177, 105, 1225, 163, 0.3944
4, 902, 97, 941, 141, 0.3161
5, 559, 97, 660, 169, 0.6919
5, 937, 80, 1009, 144, 0.6190
5, 1285, 356, 1517, 540, 0.5152
5, 1177, 105, 1225, 163, 0.3898
5, 902, 97, 941, 141, 0.3120
6, 559, 98, 660, 169, 0.6952
6, 937, 79, 1009, 144, 0.6234
6, 1285, 356, 1516, 540, 0.4905
6, 1178, 105, 1225, 163, 0.3762
6, 902, 97, 941, 141, 0.3170
7, 559, 98, 660, 169, 0.6857
7, 937, 79, 1009, 143, 0.6058
7, 1285, 356, 1517, 540, 0.5274
7, 1177, 104, 1225, 163, 0.3833
7, 901, 97, 941, 141, 0.3187
8, 558, 99, 660, 169, 0.6703
8, 937, 79, 1009, 144, 0.6107
8, 1285, 356, 1516, 540, 0.5392
8, 1178, 105, 1225, 163, 0.3882
8, 902, 97, 941, 141, 0.3071
9, 559, 95, 660, 169, 0.6507
9, 936, 80, 1010, 144, 0.6216
9, 1286, 357, 1518, 541, 0.5417
9, 1178, 104, 1225, 164, 0.3847
9, 900, 98, 940, 141, 0.3239
10, 559, 95, 660, 169, 0.6339
10, 936, 80, 1010, 144, 0.6093
10, 1285, 356, 1516, 540, 0.5735
10, 1178, 105, 1225, 164, 0.3765
10, 898, 97, 940, 141, 0.3227
11, 559, 95, 660, 169, 0.6359
11, 936, 80, 1010, 144, 0.6068
11, 1286, 356, 1516, 539, 0.5797
11, 1178, 105, 1225, 164, 0.3604
11, 898, 97, 940, 141, 0.3196
12, 558, 92, 660, 170, 0.6766
12, 1286, 358, 1518, 541, 0.6227
12, 936, 80, 1009, 144, 0.6086
12, 1178, 104, 1225, 163, 0.3569
12, 897, 96, 940, 141, 0.3121
13, 558, 93, 660, 170, 0.6915
13, 936, 80, 1009, 144, 0.6217
13, 1286, 357, 1518, 540, 0.6041
13, 1178, 104, 1225, 163, 0.3604
13, 901, 96, 940, 141, 0.3028
14, 557, 94, 660, 170, 0.6842
14, 936, 80, 1009, 144, 0.6263
14, 1286, 357, 1518, 540, 0.6009
14, 1178, 104, 1225, 163, 0.3542
14, 900, 96, 940, 141, 0.3063
15, 558, 94, 660, 170, 0.6762
15, 936, 80, 1009, 144, 0.6282
